size(MB)   tavg(usec)    tmin(usec)    tmax(usec)  avgbw(GB/sec)  maxbw(GB/sec)  minbw(GB/sec)
    0.10     6197.0          217.4        15950.5          0.03           0.80           0.01
    0.12     6120.3          226.0        13758.4          0.03           0.93           0.02
    0.15     6152.0          224.1        13939.1          0.04           1.17           0.02
    0.20     6298.1          219.8        11994.4          0.06           1.59           0.03
    0.32     6259.5          220.9        12316.9          0.09           2.54           0.05
    0.40     6250.3          226.8        13773.1          0.11           3.09           0.05
    0.50     6180.4          227.3        10992.9          0.14           3.85           0.08
    0.64     6122.6          224.8        12768.6          0.18           4.98           0.09
    0.80     6290.3          230.7        13756.7          0.22           6.07           0.10
    1.00     6320.3          225.9        14652.8          0.28           7.75           0.12
    1.25     6460.3          235.7        16998.3          0.34           9.28           0.13
    1.50     6287.9          231.2        14280.6          0.42          11.35           0.18
    2.00     6220.3          272.6        12464.7          0.56          12.84           0.28
    3.16     6116.6          387.6        12637.9          0.90          14.27           0.44
    4.00     6366.2          411.5        13574.0          1.10          17.01           0.52
    5.00     6344.8          437.6        15050.7          1.38          20.00           0.58
    6.40     6220.3          485.1        12524.5          1.80          23.09           0.89
    8.00     6149.8          577.8        13425.4          2.28          24.23           1.04
   10.00     6636.5          613.4        13487.4          2.64          28.53           1.30
   12.50     6360.3          663.4        13318.2          3.44          32.97           1.64
   15.00     6410.3          771.5        13215.6          4.09          34.02           1.99
   20.00     6238.9          863.9        12207.9          5.61          40.51           2.87
   31.60     6847.3         1305.9        12044.1          8.08          42.35           4.59
   40.00     6983.5         1459.3        13999.4         10.02          47.97           5.00
   50.00     6659.3         1681.2        14248.3         13.14          52.05           6.14
   64.00     7680.5         1883.9        14173.1         14.58          59.45           7.90
   80.00     8120.4         3895.7        15814.9         17.24          35.94           8.85
  100.00     8075.0         2942.1        14467.0         21.67          59.48          12.10
  125.00     8490.3         5999.4        17006.1         25.76          36.46          12.86
  160.00     8818.7         5999.1        15995.3         31.75          46.67          17.51
  200.00    10260.3         4485.4        18666.7         34.11          78.03          18.75
  250.00    10735.7         6815.8        16885.1         40.75          64.19          25.91
  316.00    12170.3         7017.7        18011.0         45.44          78.80          30.70
  400.00    13500.2         8062.0        23126.9         51.85          86.83          30.27
  500.00    16000.3        10418.6        22753.3         54.69          83.98          38.46
  640.00    18210.3        12948.1        25998.1         61.50          86.50          43.08
  800.00    20942.6        15852.1        29997.6         66.85          88.32          46.67
 1000.00    25890.7        21998.5        32995.2         67.59          79.55          53.04
 1250.00    30870.4        25003.9        40065.0         70.86          87.49          54.60
 1600.00    36847.5        31369.3        44845.4         75.99          89.26          62.44
 2000.00    44769.0        39162.2        51743.2         78.18          89.37          67.64
 2500.00    55090.3        49505.7        61480.0         79.42          88.37          71.16
 3160.00    67748.5        62999.7        74006.1         81.63          87.78          74.72
 4000.00    84050.3        78816.4        91011.1         83.28          88.81          76.91
 5000.00    104198.2        98708.1        111787.0         83.97          88.65          78.27
 6400.00    131192.7        125688.7        136960.7         85.37          89.11          81.78
 8000.00    162759.5        157047.2        169054.8         86.02          89.15          82.81
